start_mono_ns,end_mono_ns,duration_ms,preceding_lifecycle_kind,following_lifecycle_kind
317446487785036,317446490330949,2.545913,client_processing,client_processing_start
317442692047410,317442694581254,2.533844,unknown_residual,client_processing_start
317464043555793,317464046082516,2.526723,client_processing,client_processing_start
317416276059059,317416278579922,2.520863,client_processing,client_processing_start
317362388794949,317362391307412,2.512463,client_processing,client_processing_start
317430675217683,317430677715596,2.497913,get_state,client_processing_start
317441987959684,317441990457357,2.497673,client_processing,get_state_start
317472623241516,317472625736449,2.494933,unknown_residual,client_processing_start
317374282604418,317374285094071,2.489653,unknown_residual,client_processing_start
317414505488720,317414507973604,2.484884,client_processing,get_state_start
317453229739534,317453232224117,2.484583,get_state,client_processing_start
317431605565401,317431608035074,2.469673,unknown_residual,client_processing_start
317363477460940,317363479912724,2.451784,unknown_residual,client_processing_start
317375454002536,317375456451059,2.448523,unknown_residual,client_processing_start
317406562699447,317406565147950,2.448503,client_processing,client_processing_start
317471619987235,317471622427428,2.440193,get_state,client_processing_start
317473844002287,317473846441940,2.439653,client_processing,get_state_start
317416241016694,317416243453477,2.436783,get_state,client_processing_start
317395294678563,317395297114377,2.435814,unknown_residual,client_processing_start
317453296011439,317453298437212,2.425773,client_processing,client_processing_start
317410868960490,317410871384003,2.423513,get_state,client_processing_start
317471443809518,317471446232821,2.423303,unknown_residual,client_processing_start
317413110624935,317413113047408,2.422473,unknown_residual,client_processing_start
317379266267582,317379268678366,2.410784,client_processing,client_processing_start
317474019696303,317474022105566,2.409263,get_state,client_processing_start
317418837920477,317418840327340,2.406863,unknown_residual,client_processing_start
317450218983828,317450221367192,2.383364,client_processing,get_state_start
317374496532383,317374498907166,2.374783,client_processing,client_processing_start
317395758375950,317395760743653,2.367703,get_state,client_processing_start
317379066839096,317379069203269,2.364173,client_processing,get_state_start
317406335060324,317406337413277,2.352953,client_processing,get_state_start
317437310850554,317437313201757,2.351203,unknown_residual,client_processing_start
317374459798496,317374462149129,2.350633,get_state,client_processing_start
317466605680651,317466608025603,2.344952,unknown_residual,client_processing_start
317381147982974,317381150323608,2.340634,unknown_residual,client_processing_start
317364374330235,317364376664458,2.334223,unknown_residual,client_processing_start
317443655919791,317443658251684,2.331893,client_processing,client_processing_start
317442211412862,317442213739635,2.326773,client_processing,client_processing_start
317446260552914,317446262877297,2.324383,client_processing,get_state_start
317380097669163,317380099993256,2.324093,client_processing,get_state_start
317413288843114,317413291156957,2.313843,get_state,client_processing_start
317472798378781,317472800689744,2.310963,get_state,client_processing_start
317378160679449,317378162989723,2.310274,get_state,client_processing_start
317414714345579,317414716632382,2.286803,client_processing,client_processing_start
317362772057452,317362774333655,2.276203,client_processing,client_processing_start
317430337330318,317430339604001,2.273683,unknown_residual,client_processing_start
317360788586149,317360790859612,2.273463,unknown_residual,client_processing_start
317472886814185,317472889087378,2.273193,client_processing,client_processing_start
317463241671681,317463243943224,2.271543,unknown_residual,client_processing_start
317361894515503,317361896782325,2.266822,client_processing,client_processing_start
317373528244997,317373530507630,2.262633,client_processing,client_processing_start
317375258523594,317375260785627,2.262033,unknown_residual,client_processing_start
317437763084466,317437765338129,2.253663,client_processing,client_processing_start
317456727804196,317456730047119,2.242923,client_processing,client_processing_start
317361875201278,317361877438421,2.237143,get_state,client_processing_start
317471075660734,317471077887437,2.226703,client_processing,client_processing_start
317375649321957,317375651548540,2.226583,client_processing,client_processing_start
317446431270353,317446433487246,2.216893,get_state,client_processing_start
317362757010223,317362759223326,2.213103,get_state,client_processing_start
317471061595976,317471063807809,2.211833,unknown_residual,client_processing_start
317450454161441,317450456365154,2.203713,client_processing,client_processing_start
317363665197122,317363667388015,2.190893,client_processing,client_processing_start
317463793061330,317463795250743,2.189413,client_processing,get_state_start
317430712000220,317430714188733,2.188513,client_processing,client_processing_start
317373511344995,317373513525848,2.180853,get_state,client_processing_start
317363279778186,317363281957858,2.179672,unknown_residual,client_processing_start
317362576318800,317362578493823,2.175023,unknown_residual,client_processing_start
317407486201305,317407488375868,2.174563,client_processing,get_state_start
317472627518091,317472629686634,2.168543,client_processing,get_state_start
317467329493832,317467331655735,2.161903,get_state,client_processing_start
317373335627499,317373337777492,2.149993,unknown_residual,client_processing_start
317447191940662,317447194089985,2.149323,unknown_residual,client_processing_start
317380945800704,317380947948597,2.147893,unknown_residual,client_processing_start
317441730255372,317441732401125,2.145753,unknown_residual,client_processing_start
317447697852023,317447699997616,2.145593,get_state,client_processing_start
317357886373014,317357888510937,2.137923,client_processing,client_processing_start
317467409110795,317467411230247,2.119452,client_processing,client_processing_start
317363649907572,317363652015095,2.107523,get_state,client_processing_start
317445800802592,317445802908674,2.106082,unknown_residual,client_processing_start
317414681125276,317414683226749,2.101473,get_state,client_processing_start
317456490045320,317456492125733,2.080413,client_processing,get_state_start
317411695471074,317411697550446,2.079372,client_processing,get_state_start
317459957753184,317459959826686,2.073502,get_state,client_processing_start
317395589356642,317395591429455,2.072813,client_processing,get_state_start
317410899010828,317410901060591,2.049763,client_processing,client_processing_start
317447756470779,317447758512951,2.042172,client_processing,client_processing_start
317357881228527,317357883269390,2.040863,setup,client_processing_start
317411866386614,317411868420786,2.034172,get_state,client_processing_start
317459283679246,317459285712359,2.033113,unknown_residual,client_processing_start
317364550106821,317364552133424,2.026603,get_state,client_processing_start
317445063381333,317445065366215,1.984882,get_state,client_processing_start
317430505501295,317430507477367,1.976072,client_processing,get_state_start
317415179314408,317415181281930,1.967522,unknown_residual,client_processing_start
317443430759031,317443432719843,1.960812,client_processing,get_state_start
317377204996389,317377206954012,1.957623,unknown_residual,client_processing_start
317377987476247,317377989428159,1.951912,client_processing,get_state_start
