run_id,instance_id,category,official_resolved,outcome_match_mode,outer_fold,observed_tool_wall_ms,observed_gpu_proxy_wall_ms,observed_e2e_ms,proxy_ratio,e2e_model_within25,predicted_tool_wall_ms,predicted_gpu_proxy_wall_ms,predicted_e2e_ms
assignment-case-v1:f837cda02d31873b8c38f8c325be44e08e931f6beea36b5b597a1b3996aa0dc0,sympy__sympy-18835,sympy/sympy,True,exact_run_id,2,19031.171778042335,44837.337240999994,127454.734258,0.4244491967877147,True,10570.48544258214,16690.2553215,125168.74167399999
assignment-case-v1:f88056bf8c3cd4ebb7d9b01b938b85f9b6143f7ce03837a34a4b34b3740afe39,sympy__sympy-15976,sympy/sympy,False,exact_run_id,0,18314.894743962213,64908.17659399999,141894.368077,0.2821662185724566,True,11344.353197737291,19137.542820999995,125970.234473
assignment-case-v1:f88edde848fdc4ad5f80a1f715e36ad44fc174096f2502fcf132848311cf0666,django__django-13821,django/django,True,exact_run_id,2,43373.86583194893,40311.500717999996,161291.859692,1.0759675293502908,True,10409.27246737192,19162.8857395,125168.74167399999
assignment-case-v1:f8bfe9483ddbaf970043a4544bcf5a5175b5e06af30be6393205076c2e6aae3b,sympy__sympy-13480,sympy/sympy,True,exact_run_id,0,11940.653220954118,25069.024865000003,99310.081616,0.4763110366380865,False,8006.912499260579,14198.822093,125970.234473
assignment-case-v1:fa3360db043ff790cee30536476b79de84d0b2c18c65ff46dc550e8efcce6b3f,sympy__sympy-24213,sympy/sympy,True,exact_run_id,3,19621.00579998514,50549.39808,121497.820942,0.38815508285445327,True,11261.640857794191,19062.72243000001,124252.1253105
assignment-case-v1:fa6bfdfe3a9b40846d03845371e7efa2d7708661d643a6ec49c4b39cafc87a21,django__django-16667,django/django,False,exact_run_id,2,13062.067502985883,57617.079322,117802.324243,0.22670478366296465,True,10027.492139113747,19162.8857395,125168.74167399999
assignment-case-v1:fae1bb6595c1ccd152f8e86163d95674ce38307496629a293e7c4c54be2aa98c,django__django-16315,django/django,False,exact_run_id,0,5578.662229963811,22717.742819000003,76876.229941,0.24556410706868698,False,5148.670865506574,19137.542820999995,125970.234473
assignment-case-v1:fb2a65d94c82bd1030bd62ace02004b7d82d9f75de9e040c7b75a508f521aef1,django__django-12858,django/django,False,exact_run_id,3,7931.894888999523,33764.223607,88576.216515,0.2349201030452565,False,6985.806265267456,19062.72243000001,124252.1253105
assignment-case-v1:fcc7c11647d5296d8748d52c7fea5c956b0b0f6b71a5bf362901ee328c528bf2,django__django-14315,django/django,False,exact_run_id,1,10830.43654600624,94457.00426499998,169537.793997,0.11465996227893648,False,12742.972021369496,19076.611453,124452.596539
assignment-case-v1:fce63cf4fd1c36f01cf62c19b7105e9a6f732e92dea73a8319aae114bc2966eb,django__django-15851,django/django,True,exact_run_id,4,25765.97503904486,40670.161142000004,174508.663968,0.6335351106449486,False,9246.676206925258,19033.337498999997,124919.82762699999
assignment-case-v1:fd32c73bbb957e5dbae3b9de9840b479a0536eb38565fde74d462b971a976ebe,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,True,exact_run_id,0,31354.32154398586,35632.778131,126836.884335,0.8799291884768328,True,9698.810191495795,19137.542820999995,125970.234473
assignment-case-v1:fd586d6bbf8de140ea87fac3132c4ab889fc28b460b6792a4d9b673be4b7b6bc,pytest-dev__pytest-7490,pytest-dev/pytest,False,exact_run_id,4,69046.13142897142,40380.656867,168594.208044,1.709881333936336,False,12062.383447695538,19033.337498999997,124919.82762699999
assignment-case-v1:fd9d0abb251e65cf87cf808c41400c18147c6e7c07ddc7c59b3e0a87ed1afd99,django__django-14034,django/django,False,exact_run_id,0,8798.700949009799,53978.929454,122741.798465,0.16300250927554824,True,8976.118535760179,19137.542820999995,125970.234473
assignment-case-v1:fd9e97538667718ec28cda5bfd4f7266d72a4502f81d29ce50e2f6754dbff0ab,django__django-12856,django/django,False,exact_run_id,4,9101.873207982862,36788.87811599999,118246.171594,0.24740828408203977,True,7488.65906075298,19033.337498999997,124919.82762699999
assignment-case-v1:fe1bd54652a88ad57afa06fa3d580bf73826b8c624f409ab0a90f0175a12c41a,sphinx-doc__sphinx-7889,sphinx-doc/sphinx,False,exact_run_id,2,17290.866862953408,41720.30068099999,128605.138973,0.4144473213451194,True,9909.839359843318,17308.412926,125168.74167399999
assignment-case-v1:fe1e4f66674ef17205e8f9884658775788e59b7342e4c5cfd5f7f26ead2daac1,django__django-12663,django/django,False,exact_run_id,3,37897.98871199309,40667.128799000006,131938.135728,0.931907165103945,True,8933.115120755247,19062.72243000001,124252.1253105
assignment-case-v1:fe69c872b5ce7d0f7c18e7c7fc53e9eabad5a242039f2a82c08b7a2f25694d2b,django__django-15957,django/django,False,exact_run_id,2,15758.036516002903,25367.413566,114824.746476,0.6211920846799862,True,6260.6689551157615,19162.8857395,125168.74167399999
assignment-case-v1:fe92a02d48834881ffb40f81b0fa74cda68c6deeec0ee7823af9c89e5540f709,django__django-14122,django/django,False,exact_run_id,3,7107.93592898699,69831.572858,138861.730405,0.10178685139228817,True,6846.279297491492,19062.72243000001,124252.1253105
assignment-case-v1:febdb8130566a31a20f81f4255e3f2319201a54f3e67a08a68eb5caccd52fb9b,sympy__sympy-18532,sympy/sympy,True,exact_run_id,3,21319.660493012634,49748.829175,137365.551149,0.42854597478097606,True,8435.208569244423,19062.72243000001,124252.1253105
assignment-case-v1:fee081408ee253778c163f45168759c2da9a584ae0b0b544e4d5cd9e1f5de837,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,True,exact_run_id,2,19170.50405801274,53694.337022,138484.392669,0.35703027770243395,True,9144.100720855931,19162.8857395,125168.74167399999
assignment-case-v1:ff159be01be197ef644d99a50422ac6f6b0554a61f492f9a8a878aa5c59cc448,matplotlib__matplotlib-18869,matplotlib/matplotlib,False,exact_run_id,3,21056.551144007244,29084.169435,182422.903033,0.7239866756747645,False,10342.055179266026,17217.942840000007,124252.1253105
assignment-case-v1:ff20778cfb95ac112b512c1867758ace649f2edf608920f96d6c2e14f272c660,sphinx-doc__sphinx-7748,sphinx-doc/sphinx,False,exact_run_id,0,13140.006321889814,67254.066803,127930.142553,0.19537861346555296,True,8381.497626771306,18520.202729999997,125970.234473
assignment-case-v1:ffa565feeba1ec11fe70c438671b4c1947620d8f318d3a57b18fee640c1f379f,sympy__sympy-13974,sympy/sympy,False,exact_run_id,3,14597.59959197254,75735.90914399998,131847.105255,0.1927434391025463,True,12556.547410542407,19062.72243000001,124252.1253105
assignment-case-v1:ffe8a2c3613c3da7b443b805dac5838da048ede22b197542531638fedf2e527c,django__django-16256,django/django,False,exact_run_id,4,22098.54299109429,13250.627765,1347129.159161,1.6677355505725575,False,6863.367512747573,9209.679435,124919.82762699999
