coarse_coverage_proportion,delta_percentage_points,fold,hybrid_coverage_proportion,metric,n_clusters,n_events,original_class,scope
0.9082278481012658,3.164556962025322,2,0.939873417721519,event_weighted_coverage,93,316,patch,original_class
0.9209746865094912,3.409246855766368,2,0.9550671550671549,instance_weighted_coverage,93,316,patch,original_class
0.8064516129032258,6.451612903225811,2,0.8709677419354839,strict_all_events_gate,93,316,patch,original_class
0.948905109489051,-0.07299270072992359,2,0.9481751824817518,event_weighted_coverage,106,1370,read,original_class
0.9452254629696358,-0.7200563186966935,2,0.9380248997826689,instance_weighted_coverage,106,1370,read,original_class
0.6981132075471698,-4.716981132075471,2,0.6509433962264151,strict_all_events_gate,106,1370,read,original_class
0.9113149847094801,0.0,2,0.9113149847094801,event_weighted_coverage,92,654,search,original_class
0.8724708262751742,0.0,2,0.8724708262751742,instance_weighted_coverage,92,654,search,original_class
0.6956521739130435,0.0,2,0.6956521739130435,strict_all_events_gate,92,654,search,original_class
0.32573599240265905,0.0,2,0.32573599240265905,event_weighted_coverage,104,1053,shell,original_class
0.3287328196933728,0.0,2,0.3287328196933728,instance_weighted_coverage,104,1053,shell,original_class
0.009615384615384616,0.0,2,0.009615384615384616,strict_all_events_gate,104,1053,shell,original_class
0.10545454545454545,0.0,2,0.10545454545454545,event_weighted_coverage,67,275,test,original_class
0.04344908751437321,0.0,2,0.04344908751437321,instance_weighted_coverage,67,275,test,original_class
0.0,0.0,2,0.0,strict_all_events_gate,67,275,test,original_class
0.5970149253731343,0.0,2,0.5970149253731343,event_weighted_coverage,106,603,traversal,original_class
0.5512122211389574,0.0,2,0.5512122211389574,instance_weighted_coverage,106,603,traversal,original_class
0.14150943396226415,0.0,2,0.14150943396226415,strict_all_events_gate,106,603,traversal,original_class
0.8652094717668488,0.0,2,0.8652094717668488,event_weighted_coverage,102,549,write,original_class
0.8726534205661343,0.0,2,0.8726534205661343,instance_weighted_coverage,102,549,write,original_class
0.7156862745098039,0.0,2,0.7156862745098039,strict_all_events_gate,102,549,write,original_class
0.6451279933938894,0.5573905862923167,3,0.6507018992568125,event_weighted_coverage,119,4844,,all
0.6774091050403371,0.5746789217493609,3,0.6831558942578307,instance_weighted_coverage,119,4844,,all
0.0,0.0,3,0.0,strict_all_events_gate,119,4844,,all
0.8867313915857605,0.0,3,0.8867313915857605,event_weighted_coverage,95,309,patch,original_class
0.8743875038473375,0.0,3,0.8743875038473375,instance_weighted_coverage,95,309,patch,original_class
0.7789473684210526,0.0,3,0.7789473684210526,strict_all_events_gate,95,309,patch,original_class
